Price,Close,High,Low,Open,Volume
Ticker,C,C,C,C,C
Date,,,,,
2005-01-03,299.300537109375,303.8269307536128,298.86649106783955,303.8269307536128,1474660
2005-01-04,296.75836181640625,302.4008667670111,295.7662699147759,299.36258177028446,1584770
2005-01-05,300.4786682128906,302.46283293481,297.7504298936405,297.93643883168437,1893350
2005-01-06,303.39276123046875,305.3149346108917,302.2146610691025,302.58669767863074,1804990
2005-01-07,301.6567687988281,304.5090256901774,301.34674128721576,304.4470164033394,1280370
2005-01-10,299.73455810546875,302.2147778976904,297.75039362523665,300.7886590861931,1699870
2005-01-11,298.9904479980469,300.60257542555445,297.7503383322276,299.67249317619,1295270
2005-01-12,298.0603942871094,298.80444880429894,295.8281928903935,298.24640318576337,1612300
2005-01-13,295.1462707519531,299.3626384793765,294.2161879659701,297.6264915145746,1543380
2005-01-14,294.5882263183594,296.69641019247274,294.27819872150206,296.07635499875806,1141110
2005-01-18,298.6805419921875,299.61062461962103,292.97602764156335,293.9061102689969,1511480
2005-01-19,297.8743591308594,300.35457863889746,297.68835023678577,298.2463958415797,1276380
2005-01-20,296.2002258300781,297.9363719372701,294.2160426310815,294.5260700732639,1731840
2005-01-21,297.1923828125,300.72670422500056,296.6963463333253,300.72670422500056,1937040
2005-01-24,299.8585205078125,302.4007491032564,298.61841084394445,299.3624652887222,1598150
2005-01-25,300.7886047363281,302.2767325582544,299.85852248230276,301.0366228862205,1269150
2005-01-26,300.6026611328125,301.84277115220954,298.4324685988677,300.85069827475365,1487690
2005-01-27,301.0987854003906,302.40090500326227,298.2465279185246,300.6647392252396,1236940
2005-01-28,299.98260498046875,301.4087428508895,298.92852282154263,300.72667855830366,1682050
2005-01-31,304.1368713378906,305.6870082967994,303.3308076882862,303.8268439461089,1914920
2005-02-01,306.8031311035156,307.5472044898587,304.5709487896309,305.68703994657324,1874180
2005-02-02,308.0433654785156,308.47741161665647,305.3771361230217,307.1132828304252,1608430
2005-02-03,307.48028564453125,308.73147704084676,304.9779028519003,308.0433179545401,1509990
2005-02-04,311.42144775390625,311.48401112535015,307.41764017308276,307.48020354452666,1404570
2005-02-07,311.1087341308594,312.7352867700161,309.9201061185907,311.2964242959538,946390
2005-02-08,309.54473876953125,312.10968490853,309.1693966300831,311.5466526076926,1098460
2005-02-09,307.66790771484375,310.5456512863624,306.9172044516188,309.5446945103999,1060350
2005-02-10,306.4167785644531,309.66988397214016,306.2291074835608,309.66988397214016,1373160
2005-02-11,309.04425048828125,310.23287840259565,305.60347442009186,306.54186789323444,999570
2005-02-14,308.10589599609375,309.41965084303985,307.1675024042275,309.1068529790844,960370
2005-02-15,309.04425048828125,309.8575171950058,307.9807302487207,308.9191237218633,950090
2005-02-16,307.66790771484375,308.7314278689906,306.85464107343444,307.29256562906255,822810
2005-02-17,305.29083251953125,308.16857779194356,304.79036338157863,307.7306529774796,1412470
