Price,Close,High,Low,Open,Volume
Ticker,AIG,AIG,AIG,AIG,AIG
Date,,,,,
2005-01-03,789.5956420898438,799.5208795756604,788.878183182113,790.4327261399723,379590
2005-01-04,792.2268676757812,799.9996595850531,790.552698685257,793.4226818156693,379110
2005-01-05,805.3804321289062,812.674865645429,796.6510077439962,797.6076439940318,558800
2005-01-06,806.6959838867188,812.4359486839977,799.9994556054721,801.1952694404579,408765
2005-01-07,808.1309204101562,811.7183616723972,804.3043017997633,807.772190881268,311070
2005-01-10,809.5659790039062,811.8380545207481,804.7827235888168,807.4135286644531,253345
2005-01-11,802.9889526367188,810.0442831278268,799.1623339464004,807.7722077529464,326070
2005-01-12,798.5643920898438,804.0651790246491,790.4328733456507,801.1951968859091,308465
2005-01-13,789.2371215820312,799.4015390569513,787.084671302326,797.0099114157936,291650
2005-01-14,790.9110717773438,796.4117846387419,789.2369036960505,791.6285306769475,235175
2005-01-18,809.5659790039062,809.5659790039064,785.6497019284585,790.9113120797313,303705
2005-01-19,801.3146362304688,809.5657789774913,800.3579999811524,809.5657789774913,235685
2005-01-20,795.8143920898438,803.7067370315879,787.4436922481775,801.3151085053975,328665
2005-01-21,790.672119140625,800.1190046073744,789.7154826737836,795.3357492864834,299175
2005-01-24,793.7808227539062,800.2382435148459,790.1933829948618,791.6283734958093,237115
2005-01-25,801.1950073242188,803.7061863614664,793.9005745119013,795.8138468272651,272145
2005-01-26,801.7930908203125,807.7721593573768,800.8364544517176,804.7826250888447,216890
2005-01-27,794.02001953125,801.7928058670227,790.1934024301548,798.8032726609563,233975
2005-01-28,787.5628662109375,791.8678392824146,783.7363207963027,791.03075510296,241175
2005-01-31,792.7047729492188,800.2383831605359,789.7152392949928,793.4222318315684,253450
2005-02-01,798.0857543945312,801.0752873777492,789.5954369302051,792.226240552766,257565
2005-02-02,799.4014282226562,803.3475986861066,794.8573509318143,800.5972418774396,239625
2005-02-03,792.5856323242188,796.4122523381999,787.5631981175375,795.8143452418499,240895
2005-02-04,807.4132690429688,808.9678119556769,792.1068712337488,792.5851528294564,308855
2005-02-07,809.5659790039062,811.0009702257703,804.1848166619305,805.9785374425892,201280
2005-02-08,809.9246215820312,813.272885415675,807.2938167889264,807.7721714737372,268215
2005-02-09,828.8184814453125,829.8947430156528,818.4149602031915,819.1324192589657,494025
2005-02-10,868.0410766601562,872.2264240442714,829.7750434339603,831.6883159006036,849275
2005-02-11,874.3789672851562,878.444689958057,863.3774669592548,865.7690942915519,484570
2005-02-14,854.886962890625,866.964648104034,841.1351098517333,860.9855815653856,720760
2005-02-15,859.1917724609375,861.583398828261,844.3636597888745,849.027360399813,391875
2005-02-16,844.2442016601562,853.8107081945489,835.8735084425625,850.8211749025512,358535
2005-02-17,833.2428588867188,844.005180731375,832.1666704942529,841.852730959777,347980
2005-02-18,824.2741088867188,832.5252500094808,819.1321261955227,831.0902594246544,394585
2005-02-22,811.9573364257812,820.3280306157378,811.2398775470209,813.1531498814894,386040
2005-02-23,820.9260864257812,825.4701637853553,815.9036544023892,815.9036544023892,262125
2005-02-24,815.4254150390625,822.2414949387843,813.1533397480364,819.7303152901161,311145
2005-02-25,817.338623046875,819.1323435071096,810.761648026015,819.1323435071096,365590
2005-02-28,798.8036499023438,814.947136838993,792.8245806665478,814.947136838993,619230
