Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2005-04-08,10461.33984375,10553.5595703125,10460.4599609375,10546.3203125,201110000
2005-04-11,10448.5595703125,10482.1796875,10438.4404296875,10462.080078125,192720000
2005-04-12,10507.9697265625,10529.76953125,10360.919921875,10448.6298828125,267070000
2005-04-13,10403.9296875,10521.0595703125,10379.7001953125,10507.4501953125,274850000
2005-04-14,10278.75,10417.8896484375,10273.4296875,10403.7099609375,303780000
2005-04-15,10087.509765625,10278.5302734375,10076.5703125,10276.6103515625,417360000
2005-04-18,10071.25,10105.3896484375,10020.9296875,10088.5400390625,301220000
2005-04-19,10127.41015625,10156.5302734375,10071.5498046875,10071.5498046875,285960000
2005-04-20,10012.3603515625,10186.4501953125,10000.4599609375,10131.1796875,323910000
2005-04-21,10218.599609375,10218.599609375,10010.509765625,10010.509765625,287550000
2005-04-22,10157.7099609375,10219.33984375,10069.919921875,10218.599609375,273540000
2005-04-25,10242.4697265625,10260.2001953125,10158.51953125,10158.51953125,231210000
2005-04-26,10151.1298828125,10263.599609375,10150.990234375,10240.990234375,255270000
2005-04-27,10198.7998046875,10219.5595703125,10079.4501953125,10150.3203125,248390000
2005-04-28,10070.3701171875,10194.580078125,10070.1396484375,10194.580078125,279300000
2005-04-29,10192.509765625,10196.3603515625,10048.1201171875,10070.3701171875,303790000
2005-05-02,10251.7001953125,10258.4296875,10188.0703125,10192.0,239610000
2005-05-03,10256.9501953125,10304.5400390625,10208.0302734375,10251.0400390625,277710000
2005-05-04,10384.6396484375,10392.4697265625,10255.25,10255.25,275240000
2005-05-05,10340.3798828125,10405.76953125,10296.48046875,10384.490234375,236460000
2005-05-06,10345.400390625,10400.599609375,10339.6396484375,10339.7099609375,230410000
2005-05-09,10384.33984375,10384.8603515625,10320.1396484375,10345.400390625,204600000
2005-05-10,10281.1103515625,10382.9404296875,10250.23046875,10382.9404296875,234910000
2005-05-11,10300.25,10311.1904296875,10184.900390625,10272.91015625,214890000
2005-05-12,10189.48046875,10322.349609375,10183.4296875,10299.740234375,249840000
2005-05-13,10140.1201171875,10234.33984375,10075.5498046875,10188.23046875,258410000
2005-05-16,10252.2900390625,10255.25,10138.2802734375,10139.6103515625,217230000
2005-05-17,10331.8798828125,10336.900390625,10213.1396484375,10247.490234375,241110000
2005-05-18,10464.4501953125,10480.849609375,10323.0400390625,10323.1904296875,299760000
2005-05-19,10493.1904296875,10494.740234375,10435.3203125,10464.4501953125,209180000
2005-05-20,10471.91015625,10499.259765625,10423.8798828125,10492.75,232250000
2005-05-23,10523.5595703125,10560.8095703125,10466.0703125,10472.7998046875,225290000
2005-05-24,10503.6796875,10522.6796875,10471.91015625,10522.6796875,204650000
2005-05-25,10457.7998046875,10503.169921875,10426.3896484375,10503.169921875,187990000
2005-05-26,10537.599609375,10544.099609375,10458.6103515625,10458.6796875,194620000
2005-05-27,10542.5498046875,10552.009765625,10517.66015625,10537.080078125,168060000
2005-05-31,10467.48046875,10542.330078125,10467.48046875,10541.8896484375,240780000
2005-06-01,10549.8701171875,10586.3701171875,10457.91015625,10462.8603515625,232630000
2005-06-02,10553.490234375,10559.9296875,10510.41015625,10548.830078125,187680000
2005-06-03,10460.9697265625,10553.1904296875,10448.41015625,10552.8203125,222230000
2005-06-06,10467.0302734375,10481.0,10430.9697265625,10461.6396484375,170200000
2005-06-07,10483.0703125,10578.83984375,10465.919921875,10466.0,213990000
2005-06-08,10476.8603515625,10543.2900390625,10465.3203125,10484.83984375,195810000
2005-06-09,10503.01953125,10526.3701171875,10443.3095703125,10477.75,209810000
2005-06-10,10512.6298828125,10538.6396484375,10452.6201171875,10503.01953125,217100000
2005-06-13,10522.5595703125,10589.16015625,10474.3798828125,10503.5703125,205630000
2005-06-14,10547.5703125,10586.7001953125,10521.7900390625,10521.9501953125,192030000
2005-06-15,10566.3701171875,10589.9296875,10495.3896484375,10548.650390625,220840000
2005-06-16,10578.650390625,10595.4501953125,10540.0595703125,10566.759765625,217730000
2005-06-17,10623.0703125,10656.2900390625,10579.490234375,10580.41015625,373400000
2005-06-20,10609.1103515625,10637.5703125,10562.3798828125,10621.5400390625,173110000
2005-06-21,10599.669921875,10630.3603515625,10580.8701171875,10608.8798828125,204330000
2005-06-22,10587.9296875,10646.240234375,10578.0400390625,10599.3603515625,198810000
2005-06-23,10421.4404296875,10589.009765625,10419.599609375,10587.08984375,288030000
2005-06-24,10297.83984375,10422.2802734375,10297.83984375,10422.2802734375,343150000
2005-06-27,10290.7802734375,10332.1298828125,10253.490234375,10298.0703125,220510000
2005-06-28,10405.6298828125,10409.7001953125,10290.5498046875,10291.009765625,215350000
2005-06-29,10374.48046875,10433.7900390625,10363.2802734375,10405.9404296875,222550000
2005-06-30,10274.9697265625,10412.7900390625,10267.2197265625,10374.1796875,301810000
2005-07-01,10303.4404296875,10343.7900390625,10273.51953125,10273.58984375,231380000
2005-07-05,10371.7998046875,10389.0595703125,10282.650390625,10303.1298828125,235620000
2005-07-06,10270.6796875,10380.4697265625,10267.6103515625,10366.51953125,237210000
2005-07-07,10302.2900390625,10310.0400390625,10175.400390625,10269.759765625,275310000
2005-07-08,10449.1396484375,10462.259765625,10300.4501953125,10302.900390625,249260000
2005-07-11,10519.7197265625,10534.2197265625,10449.599609375,10449.599609375,225470000
2005-07-12,10513.8896484375,10544.0400390625,10483.2001953125,10519.490234375,233390000
